rfr_id,INCIDENT_NUMBER,UCR_CATEGORY
617,80-11-024996,Narcotics
618,80-12-063493,Aggravated Assault
619,80-11-024996,Narcotics
620,80-13-041641,Burglary
621,80-12-068393,Wpns Law Violation
622,80-13-047660,Robbery
623,80-12-068393,Wpns Law Violation
624,80-13-047660,Robbery
625,80-12-096170,Accidental Shooting
626,80-12-101101,Wpns Law Violation
627,80-12-103221,Wpns Law Violation
628,80-12-103221,Wpns Law Violation
629,80-13-000013,Disorderly Conduct
630,80-13-002442,Narcotics
631,80-13-002442,Narcotics
632,80-13-023065,Wpns Law Violation
633,80-13-036100,Wpns Law Violation
634,80-13-035844,Kidnapping Only
635,80-12-081184,Burglary
636,80-12-085064,Accidental Shooting
637,80-13-001907,Robbery
638,80-13-001907,Robbery
639,80-13-001907,Robbery
640,80-13-038809,Aggravated Assault
641,80-13-052701,Wpns Law Violation
642,80-13-053093,Narcotics Equip
643,80-13-053150,Wpns Law Violation
644,80-13-038660,Wpns Law Violation
645,80-13-053491,Stolen Property
646,80-13-057017,Aggravated Assault
647,80-13-061482,Wpns Law Violation
648,80-13-047072,Burglary
649,80-13-080028,Wpns Law Violation
650,80-13-081306,Wpns Law Violation
651,80-13-085813,Narcotics
652,80-13-085813,Narcotics
653,80-13-089022,Aggravated Assault
654,80-13-089022,Aggravated Assault
655,80-13-089789,Wpns Law Violation
656,80-13-087911,Wpns Law Violation
657,80-11-105245,Wpns Law Violation
658,80-12-073943,Aggravated Assault
659,80-11-029145,Aggravated Assault
660,80-13-064246,Wpns Law Violation
661,80-12-083489,Wpns Law Violation
662,80-12-038189,Wpns Law Violation
663,80-12-096781,Wpns Law Violation
664,80-12-096781,Wpns Law Violation
665,80-13-047281,Stolen Property
666,80-11-014008,Narcotics
667,80-13-047660,Robbery
668,80-13-055503,Wpns Law Violation
669,80-13-057360,Wpns Law Violation
670,80-13-058288,Wpns Law Violation
671,80-13-057764,Wpns Law Violation
672,80-11-014008,Narcotics
673,80-12-059267,Aggravated Assault
674,80-11-041586,Narcotics
675,80-13-027368,Stolen Property
676,80-11-056936,Wpns Law Violation
677,80-12-002816,Aggravated Assault
678,80-12-002816,Aggravated Assault
679,80-13-029324,Aggravated Assault
680,80-12-003627,Wpns Law Violation
681,80-13-045271,Narcotics
682,80-13-045271,Narcotics
683,80-13-045271,Narcotics
684,80-13-045271,Narcotics
685,80-13-045271,Narcotics
686,80-13-045271,Narcotics
687,80-13-045271,Narcotics
688,80-13-045271,Narcotics
689,80-13-012927,Stolen Property
690,80-12-000915,Aggravated Assault
691,80-12-000915,Aggravated Assault
692,80-12-038651,Wpns Law Violation
693,80-13-010088,Aggravated Assault
694,80-13-054818,Aggravated Assault
695,80-13-053560,Accidental Shooting
696,80-11-003001,Narcotics
697,80-12-066034,Wpns Law Violation
698,80-12-066034,Wpns Law Violation
699,80-13-016349,Wpns Law Violation
700,80-12-043520,Stolen Property
701,80-12-061286,Wpns Law Violation
702,80-12-095042,Counterfeiting
703,80-13-078242,Wpns Law Violation
704,80-13-061320,Wpns Law Violation
705,80-13-066505,Wpns Law Violation
706,80-12-096700,Wpns Law Violation
707,80-10-100083,Wpns Law Violation
708,80-11-016157,Narcotics
709,80-11-016157,Narcotics
710,80-10-060198,Stolen Property
711,80-10-067049,Wpns Law Violation
712,80-11-040510,Wpns Law Violation
713,80-10-066951,Wpns Law Violation
714,80-10-081076,Narcotics
715,80-10-081076,Narcotics
716,80-10-083574,Wpns Law Violation
717,80-10-097211,Burglary
718,80-10-087199,Burglary
719,80-10-091196,Narcotics Equip
720,80-10-092967,Robbery
721,80-10-092967,Robbery
722,80-10-095293,Wpns Law Violation
723,80-10-095293,Wpns Law Violation
724,80-10-095293,Wpns Law Violation
725,80-10-095293,Wpns Law Violation
726,80-10-101349,Narcotics
727,80-10-101349,Narcotics
728,80-11-005506,Simple Assault
729,80-11-010300,Robbery
730,80-11-010300,Robbery
731,80-11-010300,Robbery
732,80-11-010300,Robbery
733,80-11-011198,Wpns Law Violation
734,80-11-051492,Robbery
735,80-11-024957,Narcotics
736,80-11-024957,Narcotics
737,80-11-024957,Narcotics
738,80-11-029936,Narcotics
739,80-11-029936,Narcotics
740,80-11-044577,Wpns Law Violation
741,80-11-047613,Wpns Law Violation
742,80-11-048053,Narcotics
743,80-11-052777,Wpns Law Violation
744,80-11-017695,Wpns Law Violation
745,80-11-065714,Robbery
746,80-11-054485,Aggravated Assault
747,80-11-054485,Aggravated Assault
748,80-11-018778,All Other Offenses
749,80-11-003713,Aggravated Assault
750,80-12-008762,Robbery
751,80-12-008762,Robbery
752,80-12-080394,Wpns Law Violation
753,80-12-096700,Wpns Law Violation
754,80-12-096700,Wpns Law Violation
755,80-13-030453,Theft Other
756,80-12-018351,Robbery
757,80-12-018351,Robbery
758,80-12-018351,Robbery
759,80-12-068623,Wpns Law Violation
760,80-12-079183,Narcotics
761,80-13-042790,Narcotics
762,80-13-013271,Wpns Law Violation
763,80-13-013271,Wpns Law Violation
764,80-12-029358,Aggravated Assault
765,80-13-029612,Aggravated Assault
766,80-11-038501,Burglary
767,80-12-000032,Wpns Law Violation
768,80-11-004699,Narcotics
769,80-13-007844,Wpns Law Violation
770,80-13-000005,Aggravated Assault
771,80-11-003683,Wpns Law Violation
772,80-12-059093,Narcotics
773,80-12-059093,Narcotics
774,80-13-033236,Narcotics
775,80-11-081193,Aggravated Assault
776,80-13-069422,Aggravated Assault
777,80-12-066931,Fraud
778,80-13-069123,Simple Assault
779,80-12-066587,Wpns Law Violation
780,80-12-045843,Simple Assault
781,80-11-009159,Narcotics
782,80-11-009159,Narcotics
783,80-11-009159,Narcotics
784,80-11-009159,Narcotics
785,80-11-009159,Narcotics
786,80-11-009159,Narcotics
787,80-11-009159,Narcotics
788,80-11-009159,Narcotics
789,80-11-009159,Narcotics
790,80-13-067052,Wpns Law Violation
791,80-11-085882,Wpns Law Violation
792,80-13-066796,Auto Theft
793,80-13-058347,Burglary
794,80-13-071136,Wpns Law Violation
795,80-13-071136,Wpns Law Violation
796,80-13-088210,Wpns Law Violation
797,80-13-088210,Wpns Law Violation
798,80-13-088210,Wpns Law Violation
799,80-13-088210,Wpns Law Violation
800,80-12-078908,Narcotics
801,80-13-058565,Narcotics
802,80-13-081413,Narcotics
803,80-13-059714,Theft Other
804,80-13-051041,Narcotics
805,80-13-081413,Narcotics
806,80-13-081413,Narcotics
807,80-13-081413,Narcotics
808,80-13-081413,Narcotics
809,80-13-081413,Narcotics
810,80-10-099123,Robbery
811,80-10-099123,Robbery
812,80-10-099123,Robbery
813,80-10-099123,Robbery
814,80-10-099123,Robbery
815,80-12-087156,Narcotics
816,80-13-039014,Stolen Property
