dr_id,INCIDENT_NUMBER,LMPD_DIVISION
632,80-16-003171,1ST DIVISION
633,80-16-003171,1ST DIVISION
634,80-16-004147,7TH DIVISION
635,80-16-004006,1ST DIVISION
636,80-16-004163,1ST DIVISION
637,80-16-001997,4TH DIVISION
638,80-16-002739,8TH DIVISION
639,80-16-003039,5TH DIVISION
640,80-16-003351,7TH DIVISION
641,80-16-004177,4TH DIVISION
642,80-16-004169,2ND DIVISION
643,80-16-004097,2ND DIVISION
644,80-16-004097,2ND DIVISION
645,80-16-004191,7TH DIVISION
646,80-16-002675,1ST DIVISION
647,80-16-002675,1ST DIVISION
648,80-16-003623,2ND DIVISION
649,80-16-003704,5TH DIVISION
650,80-16-004235,8TH DIVISION
651,80-16-004251,7TH DIVISION
652,80-16-003288,1ST DIVISION
653,80-16-004261,4TH DIVISION
654,80-16-004263,8TH DIVISION
655,80-16-004123,8TH DIVISION
656,80-16-004285,4TH DIVISION
657,80-16-004290,METRO LOUISVILLE
658,80-16-004292,8TH DIVISION
659,80-16-004304,8TH DIVISION
660,80-16-004314,5TH DIVISION
661,80-16-004326,3RD DIVISION
662,80-16-004333,7TH DIVISION
663,80-16-004316,8TH DIVISION
664,80-16-004064,2ND DIVISION
665,80-16-004339,4TH DIVISION
666,80-16-003949,4TH DIVISION
667,80-16-004317,8TH DIVISION
668,80-16-004352,7TH DIVISION
669,80-16-004390,7TH DIVISION
670,80-16-011879,5TH DIVISION
671,80-16-012165,3RD DIVISION
672,80-16-012744,4TH DIVISION
673,80-16-012729,6TH DIVISION
674,80-16-012729,6TH DIVISION
675,80-16-012785,7TH DIVISION
676,80-16-012791,6TH DIVISION
677,80-16-012794,3RD DIVISION
678,80-16-012801,3RD DIVISION
679,80-16-011889,6TH DIVISION
680,80-16-012041,4TH DIVISION
681,80-16-021807,2ND DIVISION
682,80-16-022676,6TH DIVISION
683,80-16-022635,6TH DIVISION
684,80-16-022192,8TH DIVISION
685,80-16-022677,6TH DIVISION
686,80-16-022319,5TH DIVISION
687,80-16-022702,2ND DIVISION
688,80-16-022473,2ND DIVISION
689,80-16-022712,1ST DIVISION
690,80-16-022407,6TH DIVISION
691,80-16-022421,3RD DIVISION
692,80-16-022726,4TH DIVISION
693,80-16-022740,6TH DIVISION
694,80-16-022736,4TH DIVISION
695,80-16-020619,4TH DIVISION
696,80-16-022800,7TH DIVISION
697,80-16-000873,6TH DIVISION
698,80-16-000852,8TH DIVISION
699,80-16-000854,3RD DIVISION
700,80-16-000823,6TH DIVISION
701,80-16-000873,6TH DIVISION
702,80-16-000885,4TH DIVISION
703,80-16-000892,4TH DIVISION
704,80-16-000893,2ND DIVISION
705,80-16-000904,4TH DIVISION
706,80-16-000901,7TH DIVISION
707,80-16-000895,4TH DIVISION
708,80-16-000903,7TH DIVISION
709,80-15-106628,6TH DIVISION
710,80-16-000912,8TH DIVISION
711,80-16-000929,8TH DIVISION
712,80-16-000914,6TH DIVISION
713,80-16-000922,3RD DIVISION
714,80-16-000944,5TH DIVISION
715,80-16-000952,2ND DIVISION
716,80-16-000953,2ND DIVISION
717,80-16-000955,5TH DIVISION
718,80-16-000975,1ST DIVISION
719,80-16-000984,1ST DIVISION
720,80-16-001002,3RD DIVISION
721,80-16-000951,3RD DIVISION
722,80-16-001012,7TH DIVISION
723,80-16-000992,2ND DIVISION
724,80-16-000974,3RD DIVISION
725,80-16-001038,4TH DIVISION
726,80-16-022819,6TH DIVISION
727,80-16-022822,6TH DIVISION
728,80-16-022828,7TH DIVISION
729,80-16-022791,4TH DIVISION
730,80-16-022838,7TH DIVISION
731,80-16-022787,2ND DIVISION
732,80-16-022829,7TH DIVISION
733,80-16-022884,2ND DIVISION
734,80-16-022587,7TH DIVISION
735,80-16-022894,3RD DIVISION
736,80-16-022875,3RD DIVISION
737,80-16-022919,8TH DIVISION
738,80-16-021614,1ST DIVISION
739,80-16-022596,8TH DIVISION
740,80-16-022790,2ND DIVISION
741,80-16-022541,2ND DIVISION
742,80-16-022541,2ND DIVISION
743,80-16-022883,4TH DIVISION
744,80-16-022739,7TH DIVISION
745,80-16-022739,7TH DIVISION
746,80-16-021537,4TH DIVISION
747,80-16-022519,1ST DIVISION
748,80-16-022162,8TH DIVISION
749,80-16-019760,7TH DIVISION
750,80-16-008074,2ND DIVISION
751,80-16-008416,1ST DIVISION
752,80-16-007846,1ST DIVISION
753,80-16-008433,7TH DIVISION
754,80-16-008565,5TH DIVISION
755,80-16-008565,5TH DIVISION
756,80-16-008644,3RD DIVISION
757,80-16-006861,2ND DIVISION
758,80-16-008663,2ND DIVISION
759,80-16-008394,6TH DIVISION
760,80-16-008664,6TH DIVISION
761,80-16-008408,1ST DIVISION
762,80-16-008665,7TH DIVISION
763,80-16-008141,8TH DIVISION
